Employee ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
10001,171.43,257.14,171.43,171.43,257.14,257.14,342.86,171.43,1457.14,1285.71,1200.00,1371.43
10002,114.29,171.43,114.29,114.29,171.43,171.43,228.57,114.29,971.43,857.14,800.00,285.71
10003,114.29,153.57,96.43,114.29,153.57,153.57,228.57,114.29,935.71,821.43,764.29,267.86
10004,114.29,171.43,114.29,114.29,171.43,171.43,228.57,114.29,971.43,857.14,800.00,285.71
10005,100.32,150.49,100.32,100.32,150.49,150.49,200.65,100.32,852.75,752.43,702.27,250.81
10006,100.32,150.49,100.32,100.32,150.49,150.49,200.65,100.32,852.75,752.43,702.27,250.81
10007,81.86,122.79,81.86,81.86,122.79,122.79,163.71,81.86,695.79,613.93,573.00,654.86
10008,42.86,64.29,42.86,42.86,64.29,64.29,85.71,42.86,364.29,321.43,300.00,342.86
10009,42.86,64.29,42.86,42.86,42.86,42.86,64.29,10.71,342.86,321.43,300.00,321.43
10010,100.32,150.49,100.32,100.32,150.49,150.49,200.65,100.32,852.75,702.27,652.10,802.59
10011,87.73,136.14,96.81,87.73,136.14,145.21,193.62,96.81,804.73,707.92,659.51,756.32
10012,73.29,109.93,73.29,73.29,109.93,109.93,146.57,73.29,622.93,549.64,513.00,586.29
10013,45.71,68.57,45.71,45.71,68.57,65.71,85.71,42.86,382.86,337.14,314.29,360.00
10014,45.71,68.57,45.71,45.71,68.57,65.71,65.71,42.86,382.86,337.14,314.29,360.00
10015,101.90,152.86,101.90,101.90,152.86,146.49,191.07,95.54,853.45,751.55,700.60,802.50
10016,81.86,122.79,81.86,81.86,122.79,117.67,153.48,76.74,685.55,567.88,562.77,644.63
10017,79.71,119.57,79.71,79.71,119.57,114.59,149.46,74.73,553.02,587.89,548.04,627.75
10018,42.86,64.29,42.86,42.86,64.29,61.61,80.36,40.18,316.07,297.32,294.64,337.50
10019,42.86,64.29,42.86,42.86,64.29,61.61,80.36,40.18,358.93,316.07,294.64,337.50
10020,44.29,66.43,44.29,44.29,66.43,63.66,83.04,41.52,370.89,326.61,304.46,348.75
10021,33.21,55.36,44.29,33.21,55.36,63.66,83.04,41.52,348.75,304.46,282.32,326.61
10022,45.71,68.57,45.71,45.71,68.57,65.71,85.71,42.86,382.86,337.14,314.29,360.00
10023,42.86,64.29,42.86,10.71,64.29,61.61,80.36,40.18,358.93,316.07,294.64,337.50
10024,42.86,64.29,42.86,42.86,64.29,61.61,80.36,40.18,337.50,316.07,294.64,337.50
10025,45.71,68.57,45.71,45.71,68.57,65.71,85.71,42.86,382.86,337.14,314.29,360.00
