Employee ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
10001,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11587.54,9394.43,8360.50,10428.36
10002,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5603.36,4224.79,3535.50,0.00
10003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5172.55,3793.98,3104.70,0.00
10004,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5603.36,4224.79,3535.50,0.00
10005,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4171.83,2961.67,2385.27,0.00
10006,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4171.83,2961.67,2385.27,0.00
10007,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2322.73,1532.81,1137.85,1927.77
10008,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10009,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10010,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4171.83,2385.27,1901.21,3566.75
10011,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3592.55,2439.82,1972.72,3008.66
10012,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1619.66,912.45,558.85,1266.06
10013,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10014,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10015,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4180.27,2951.04,2369.14,3565.66
10016,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2223.99,1088.48,1039.11,1829.03
10017,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,945.02,1281.57,896.94,1666.19
10018,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10019,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10020,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10022,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10023,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10024,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10025,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
