Employee ID,January,February,March,April,May,June,July,August,September,October,November,December
10001,8571.43,12857.14,8571.43,8571.43,12857.14,12857.14,17142.86,8571.43,72857.14,64285.71,60000.00,68571.43
10002,5714.29,8571.43,5714.29,5714.29,8571.43,8571.43,11428.57,5714.29,48571.43,42857.14,40000.00,14285.71
10003,5714.29,7678.57,4821.43,5714.29,7678.57,7678.57,11428.57,5714.29,46785.71,41071.43,38214.29,13392.86
10004,5714.29,8571.43,5714.29,5714.29,8571.43,8571.43,11428.57,5714.29,48571.43,42857.14,40000.00,14285.71
10005,5016.19,7524.29,5016.19,5016.19,7524.29,7524.29,10032.38,5016.19,42637.62,37621.43,35113.33,12540.48
10006,5016.19,7524.29,5016.19,5016.19,7524.29,7524.29,10032.38,5016.19,42637.62,37621.43,35113.33,12540.48
10007,4092.86,6139.29,4092.86,4092.86,6139.29,6139.29,8185.71,4092.86,34789.29,30696.43,28650.00,32742.86
10008,2142.86,3214.29,2142.86,2142.86,3214.29,3214.29,4285.71,2142.86,18214.29,16071.43,15000.00,17142.86
10009,2142.86,3214.29,2142.86,2142.86,2142.86,2142.86,3214.29,1071.43,17142.86,16071.43,15000.00,16071.43
10010,5016.19,7524.29,5016.19,5016.19,7524.29,7524.29,10032.38,5016.19,42637.62,35113.33,32605.24,40129.52
10011,4386.68,6806.92,4840.48,4386.68,6806.92,7260.71,9680.95,4840.48,40236.46,35395.98,32975.74,37816.22
10012,3664.29,5496.43,3664.29,3664.29,5496.43,5496.43,7328.57,3664.29,31146.43,27482.14,25650.00,29314.29
10013,2285.71,3428.57,2285.71,2285.71,3428.57,3285.71,4285.71,2142.86,19142.86,16857.14,15714.29,18000.00
10014,2285.71,3428.57,2285.71,2285.71,3428.57,3285.71,3285.71,2142.86,19142.86,16857.14,15714.29,18000.00
10015,5095.24,7642.86,5095.24,5095.24,7642.86,7324.40,9553.57,4776.79,42672.62,37577.38,35029.76,40125.00
10016,4092.86,6139.29,4092.86,4092.86,6139.29,5883.48,7674.11,3837.05,34277.68,28394.20,28138.39,32231.25
10017,3985.71,5978.57,3985.71,3985.71,5978.57,5729.46,7473.21,3736.61,27650.89,29394.64,27401.79,31387.50
10018,2142.86,3214.29,2142.86,2142.86,3214.29,3080.36,4017.86,2008.93,15803.57,14866.07,14732.14,16875.00
10019,2142.86,3214.29,2142.86,2142.86,3214.29,3080.36,4017.86,2008.93,17946.43,15803.57,14732.14,16875.00
10020,2214.29,3321.43,2214.29,2214.29,3321.43,3183.04,4151.79,2075.89,18544.64,16330.36,15223.21,17437.50
10021,1660.71,2767.86,2214.29,1660.71,2767.86,3183.04,4151.79,2075.89,17437.50,15223.21,14116.07,16330.36
10022,2285.71,3428.57,2285.71,2285.71,3428.57,3285.71,4285.71,2142.86,19142.86,16857.14,15714.29,18000.00
10023,2142.86,3214.29,2142.86,1071.43,3214.29,3080.36,4017.86,2008.93,17946.43,15803.57,14732.14,16875.00
10024,2142.86,3214.29,2142.86,2142.86,3214.29,3080.36,4017.86,2008.93,16875.00,15803.57,14732.14,16875.00
10025,2285.71,3428.57,2285.71,2285.71,3428.57,3285.71,4285.71,2142.86,19142.86,16857.14,15714.29,18000.00
