Employee ID,January,February,March,April,May,June,July,August,September,October,November,December
10001,16.00,24.00,16.00,16.00,24.00,24.00,32.00,16.00,136.00,120.00,112.00,128.00
10002,16.00,24.00,16.00,16.00,24.00,24.00,32.00,16.00,136.00,120.00,112.00,40.00
10003,16.00,21.50,13.50,16.00,21.50,21.50,32.00,16.00,131.00,115.00,107.00,37.50
10004,16.00,24.00,16.00,16.00,24.00,24.00,32.00,16.00,136.00,120.00,112.00,40.00
10005,16.00,24.00,16.00,16.00,24.00,24.00,32.00,16.00,136.00,120.00,112.00,40.00
10006,16.00,24.00,16.00,16.00,24.00,24.00,32.00,16.00,136.00,120.00,112.00,40.00
10007,16.00,24.00,16.00,16.00,24.00,24.00,32.00,16.00,136.00,120.00,112.00,128.00
10008,16.00,24.00,16.00,16.00,24.00,24.00,32.00,16.00,136.00,120.00,112.00,128.00
10009,16.00,24.00,16.00,16.00,16.00,16.00,24.00,8.00,128.00,120.00,112.00,120.00
10010,16.00,24.00,16.00,16.00,24.00,24.00,32.00,16.00,136.00,112.00,104.00,128.00
10011,14.50,22.50,16.00,14.50,22.50,24.00,32.00,16.00,133.00,117.00,109.00,125.00
10012,16.00,24.00,16.00,16.00,24.00,24.00,32.00,16.00,136.00,120.00,112.00,128.00
10013,16.00,24.00,16.00,16.00,24.00,23.00,30.00,15.00,134.00,118.00,110.00,126.00
10014,16.00,24.00,16.00,16.00,24.00,23.00,23.00,15.00,134.00,118.00,110.00,126.00
10015,16.00,24.00,16.00,16.00,24.00,23.00,30.00,15.00,134.00,118.00,110.00,126.00
10016,16.00,24.00,16.00,16.00,24.00,23.00,30.00,15.00,134.00,111.00,110.00,126.00
10017,16.00,24.00,16.00,16.00,24.00,23.00,30.00,15.00,111.00,118.00,110.00,126.00
10018,16.00,24.00,16.00,16.00,24.00,23.00,30.00,15.00,118.00,111.00,110.00,126.00
10019,16.00,24.00,16.00,16.00,24.00,23.00,30.00,15.00,134.00,118.00,110.00,126.00
10020,16.00,24.00,16.00,16.00,24.00,23.00,30.00,15.00,134.00,118.00,110.00,126.00
10021,12.00,20.00,16.00,12.00,20.00,23.00,30.00,15.00,126.00,110.00,102.00,118.00
10022,16.00,24.00,16.00,16.00,24.00,23.00,30.00,15.00,134.00,118.00,110.00,126.00
10023,16.00,24.00,16.00,8.00,24.00,23.00,30.00,15.00,134.00,118.00,110.00,126.00
10024,16.00,24.00,16.00,16.00,24.00,23.00,30.00,15.00,126.00,118.00,110.00,126.00
10025,16.00,24.00,16.00,16.00,24.00,23.00,30.00,15.00,134.00,118.00,110.00,126.00
