Employee ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
10001,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10002,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10003,0.00,1190.48,1190.48,0.00,1190.48,1190.48,0.00,0.00,2380.95,2380.95,2380.95,1190.48
10004,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10005,26.13,26.13,0.00,26.13,26.13,0.00,0.00,0.00,52.25,52.25,52.25,26.13
10006,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10007,72.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,217.43,144.96,217.43,217.43
10008,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10009,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10010,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10011,705.90,705.90,0.00,705.90,705.90,0.00,0.00,0.00,1411.81,1411.81,1411.81,1411.81
10012,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10013,0.00,0.00,0.00,0.00,0.00,261.90,523.81,261.90,523.81,523.81,523.81,523.81
10014,0.00,0.00,0.00,0.00,0.00,261.90,261.90,261.90,523.81,523.81,523.81,523.81
10015,0.00,0.00,0.00,0.00,0.00,583.83,1167.66,583.83,1167.66,1167.66,1167.66,1167.66
10016,76.74,0.00,0.00,0.00,0.00,468.97,937.95,468.97,1168.17,622.46,1168.17,1168.17
10017,0.00,0.00,0.00,0.00,0.00,456.70,913.39,456.70,456.70,913.39,913.39,913.39
10018,0.00,0.00,0.00,0.00,0.00,245.54,491.07,245.54,491.07,245.54,491.07,491.07
10019,0.00,0.00,0.00,0.00,0.00,245.54,491.07,245.54,491.07,491.07,491.07,491.07
10020,0.00,0.00,0.00,0.00,0.00,253.72,507.44,253.72,507.44,507.44,507.44,507.44
10021,671.21,668.90,0.00,668.90,668.90,253.72,507.44,253.72,1852.16,1849.85,1852.16,1852.16
10022,0.00,0.00,0.00,0.00,0.00,261.90,523.81,261.90,523.81,523.81,523.81,523.81
10023,0.00,111.61,111.61,0.00,111.61,357.14,491.07,245.54,714.29,714.29,714.29,714.29
10024,24.55,0.00,0.00,0.00,0.00,245.54,491.07,245.54,564.73,540.18,564.73,564.73
10025,0.00,0.00,0.00,0.00,0.00,261.90,523.81,261.90,523.81,523.81,523.81,523.81
