Employee ID,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
10001,7888.93,11822.14,7888.93,7888.93,11822.14,11822.14,15777.86,7888.93,57594.60,51516.29,48414.50,54618.07
10002,5266.79,7888.93,5266.79,5266.79,7888.93,7888.93,10511.07,5266.79,40143.07,36007.36,33939.50,13133.21
10003,5266.79,5881.85,3237.20,5266.79,5881.85,5881.85,10511.07,5266.79,36469.71,32333.99,30266.14,11126.13
10004,5266.79,7888.93,5266.79,5266.79,7888.93,7888.93,10511.07,5266.79,40143.07,36007.36,33939.50,13133.21
10005,4589.50,6897.31,4615.62,4589.50,6897.31,6923.44,9231.25,4615.62,35796.22,32165.76,30321.84,11512.93
10006,4615.62,6923.44,4615.62,4615.62,6923.44,6923.44,9231.25,4615.62,35848.48,32218.01,30374.09,11539.06
10007,3697.13,5654.41,3769.61,3769.61,5654.41,5654.41,7539.21,3769.61,29906.50,26819.29,25166.97,28326.65
10008,1932.86,2966.79,1932.86,1932.86,2966.79,2966.79,3933.21,1932.86,16766.79,14788.93,13800.00,15777.86
10009,1932.86,2966.79,1932.86,1932.86,1932.86,1932.86,2966.79,909.64,15777.86,14788.93,13800.00,14788.93
10010,4615.62,6923.44,4615.62,4615.62,6923.44,6923.44,9231.25,4615.62,35848.48,30374.09,28437.84,34033.24
10011,3324.74,5547.77,4446.06,3324.74,5547.77,6669.09,8914.62,4446.06,32698.83,29180.49,27312.07,30947.18
10012,3378.54,5056.55,3378.54,3378.54,5056.55,5056.55,6734.57,3378.54,27311.64,24482.81,23068.40,25897.23
10013,2070.71,3151.07,2070.71,2070.71,3151.07,2751.31,3409.40,1670.95,17094.05,14978.33,13942.98,16036.19
10014,2070.71,3151.07,2070.71,2070.71,3151.07,2751.31,2751.31,1670.95,17094.05,14978.33,13942.98,16036.19
10015,4691.90,7037.86,4691.90,4691.90,7037.86,6146.72,7624.04,3800.77,34706.15,31018.47,29141.92,32862.31
10016,3692.87,5654.41,3769.61,3769.61,5654.41,4938.59,6130.07,3053.78,28560.80,24564.46,23821.27,26980.96
10017,3666.21,5499.32,3666.21,3666.21,5499.32,4824.74,5960.76,2991.63,24156.39,25045.87,23507.39,26584.36
10018,1932.86,2966.79,1932.86,1932.86,2966.79,2592.01,3206.16,1558.08,14039.38,13425.22,13072.95,15028.30
10019,1932.86,2966.79,1932.86,1932.86,2966.79,2592.01,3206.16,1558.08,16017.23,14039.38,13072.95,15028.30
10020,2001.79,3047.68,2001.79,2001.79,3047.68,2682.91,3319.03,1614.52,16555.64,14508.85,13507.96,15532.25
10021,796.38,1867.08,2001.79,798.69,1867.08,2682.91,3319.03,1614.52,14187.53,12165.55,11139.85,13164.14
10022,2070.71,3151.07,2070.71,2070.71,3151.07,2751.31,3409.40,1670.95,17094.05,14978.33,13942.98,16036.19
10023,1932.86,2855.18,1821.25,909.64,2855.18,2480.40,3206.16,1558.08,15794.02,13816.16,12849.73,14805.09
10024,1908.30,2966.79,1932.86,1932.86,2966.79,2592.01,3206.16,1558.08,14954.64,13990.27,12999.29,14954.64
10025,2070.71,3151.07,2070.71,2070.71,3151.07,2751.31,3409.40,1670.95,17094.05,14978.33,13942.98,16036.19
